Id,WebName,FirstName,SecondName,DreamTeam,SelectedBy,Position,Team,FixtureWeek1,Opponent1,HomeAway1,FixtureWeek2,Opponent2,HomeAway2,FixtureWeek3,Opponent3,HomeAway3,GameWeek,Points,Cost,NetTransfers,MinutesPlayed,Goals,Assists,CleanSheet,Bonus,YellowCards,RedCards,GoalsConceded,Crosses,BigChancesCreated,ClearancesBlocksIntercepts,Recoveries,KeyPasses,Tackles,AttemptedPasses,PassesCompleted,BigChancesMissed,ErrorsToGoal,ErrorsToGoalAttempt,Tackled,Offside,Fouls,Dribbles
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,9,1,55,-7705,90,0,0,0,0,0,0,2,0,0,0,6,0,0,25,15,0,1,0,1,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,10,2,55,3778,90,0,0,0,0,0,0,1,0,0,0,11,0,0,14,11,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,11,2,54,-12168,90,0,0,0,0,0,0,3,0,0,1,6,0,0,23,16,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,12,8,54,-8972,90,0,0,1,1,0,0,0,0,0,0,11,0,0,27,9,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,13,6,54,1099,90,0,0,1,0,0,0,0,0,0,2,10,0,0,20,14,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,14,6,54,2433,90,0,0,1,0,0,0,0,0,0,2,8,0,0,28,26,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,15,1,54,-2189,90,0,0,0,0,0,0,3,0,0,1,11,0,0,16,13,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,16,2,54,1643,90,0,0,0,0,0,0,1,0,0,5,13,0,0,22,17,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,17,6,54,-3549,90,0,0,1,0,0,0,0,0,0,2,9,0,0,17,12,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,18,6,54,1922,90,0,0,1,0,0,0,0,0,0,0,12,0,0,24,19,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,19,3,54,-5150,90,0,0,0,0,0,0,3,0,0,1,19,0,0,29,14,0,1,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,20,1,54,-1103,90,0,0,0,0,0,0,2,0,0,1,6,0,0,25,14,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,21,1,54,-2657,90,0,0,0,0,1,0,1,0,0,2,9,0,0,24,18,0,0,1,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,22,2,54,-6680,90,0,0,0,0,0,0,2,0,0,1,9,0,0,23,21,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,23,2,54,-1457,90,0,0,0,0,0,0,2,0,0,0,12,0,0,28,9,0,1,0,0,0,0,0
